sku,name,price,description,image_file
TF-SHIRT-001,Plaid Woven Shirt,65.99,Multi-colored textured fabric shirt,TF_Plaid_Woven_Shirt_Front_SQUARE.jpg
TF-JACKET-001,Sketches Tapestry Puffer,146.99,Multi-colored puffer jacket with tapestry design,TF_Puffer-Front_SQUARE.jpg
TF-DRESS-003,Little Print Denim Dress,78.99,Denim dress with little print details,TF_Little_print_denim_dress_SQUARE.jpg
TF-TEE-003,Classic Pocket Tee Black,23.99,Classic black tee with pocket detail,TF23T71-CLASSIC-POCKET-TEE-BLACK-FRONT.jpg
TF-TEE-004,Classic Pocket Tee Blue,23.99,Classic blue tee with pocket detail,TF23T71-CLASSIC-POCKET-TEE-BLUE-FRONT.jpg
TF-TEE-005,Classic Pocket Tee Green,23.99,Classic green tee with pocket detail,TF23T71-CLASSIC-POCKET-TEE-GREEN-FRONT.jpg
TF-TEE-006,Classic Pocket Tee Purple,23.99,Classic purple tee with pocket detail,TF23T71-CLASSIC-POCKET-TEE-PURPLE-FRONT.jpg
TF-HOODIE-003,Classic Zip Hoodie Navy,63.99,Navy zip-up hoodie with classic fit,TF23FL78-CLASSIC-ZIP-HOODIE-NAVY-sq.jpg
TF-HOODIE-004,Classic Zip Hoodie Olive,63.99,Olive zip-up hoodie with classic fit,TF23FL78-CLASSIC-ZIP-HOODIE-OLIVE-sq.jpg
TF-HOODIE-005,Classic Zip Hoodie Tan,63.99,Tan zip-up hoodie with classic fit,TF23FL78-CLASSIC-ZIP-HOODIE-TAN-sq.jpg
TF-TEE-007,Classic Washed Tee Grey,22.99,Classic grey tee with washed finish,TF25K102GREYFRONT.jpg
TF-TEE-008,Classic Washed Tee Black,22.99,Classic black tee with washed finish,TF25K102FRONTBLACK_5f66ecf1-bba2-4725-9bc5-fe7e3e0947dd.jpg
TF-TEE-009,Classic Washed Tee Blue,22.99,Classic blue tee with washed finish,TF25K102BLUEFRONT_2ed51cce-f449-404f-97a4-0139bce74cae.jpg
TF-TEE-010,Classic Washed Tee Green,22.99,Classic green tee with washed finish,TF25K102FRONTGREEN_b87f34e5-81ec-4a4a-9d16-256fde306a9f.jpg
TF-POCKET-001,Classic Pocket Tee Black,23.99,Black tee with pocket and washed finish,TF25K103FRONTBLACK.jpg
TF-POCKET-002,Classic Pocket Tee Green,23.99,Green tee with pocket and washed finish,TF25K103FRONTGREEN_dbe67f37-0ef7-489b-a4e7-90a50865b85f.jpg
TF-POCKET-003,Classic Pocket Tee Pink,23.99,Pink tee with pocket and washed finish,TF25K103PINKFRONT_1654fdb5-357b-480a-b544-f899ddce2764.jpg
TF-HOODIE-006,Classic Boxy Hoodie Black,63.99,Black boxy fit hoodie with washed finish,TF25K106FRONTBLACK_5a8c8c8d-75b2-444a-a47b-d0f5e352b8a5.jpg
TF-HOODIE-007,Classic Boxy Hoodie Blue,63.99,Blue boxy fit hoodie with washed finish,TF25K106FRONTBLUE_cda763f1-9ae1-42da-9898-980ab5202a02.jpg
TF-HOODIE-008,Classic Boxy Hoodie Green,63.99,Green boxy fit hoodie with washed finish,TF25K106FRONTGREEN_c1f83369-d3f0-4be9-91d1-0fdde4257bb7.jpg
TF-PANTS-002,Classic Sweatpants Black,56.99,Black sweatpants with washed finish,TF25K110-BLK-SQUARE.jpg
TF-PANTS-003,Classic Sweatpants Blue,56.99,Blue sweatpants with washed finish,TF25K110-BLUE-SQUARE.jpg
TF-PANTS-004,Classic Sweatpants Green,56.99,Green sweatpants with washed finish,TF25K110-GREEN-SQUARE.jpg
TF-BAG-001,Metallic Bear Bag,80.99,Silver metallic bag with bear design,bag.jpg
